traceId,activity,timestamp,status,nodeType,poolName,instanceType
5,Activity_0qykc8o,2024-04-16 18:11:35,assign,task,main,b
5,Activity_0qykc8o,2024-04-16 18:11:36,complete,task,main,b
5,Gateway_0xussxu,2024-04-16 18:11:36,complete,parallelGatewayOpen,main,b
5,Gateway_0a5f12j,2024-04-16 18:11:36,complete,exclusiveGateway,main,b
5,Event_1b9cqpn,2024-04-16 18:11:36,complete,endEvent,main,b
6,Activity_1ijxuyk,2024-04-16 18:11:37,complete,task,main,b
6,Activity_182s0e0,2024-04-16 18:11:37,assign,task,second,b
6,Activity_182s0e0,2024-04-16 18:13:17,complete,task,second,b
6,Event_016qlk7,2024-04-16 18:13:17,complete,intermediateThrowEvent,second,b
6,Event_0iqs5ri,2024-04-16 18:13:17,complete,endEvent/messageEventDefinition,second,b
6,Activity_0qykc8o,2024-04-16 18:13:17,start,task,main,b
6,Activity_0qykc8o,2024-04-16 18:13:17,assign,task,main,b
6,Activity_0qykc8o,2024-04-16 18:13:18,complete,task,main,b
6,Gateway_0xussxu,2024-04-16 18:13:18,complete,parallelGatewayOpen,main,b
6,Gateway_0a5f12j,2024-04-16 18:13:18,complete,exclusiveGateway,main,b
6,Event_1b9cqpn,2024-04-16 18:13:18,complete,endEvent,main,b
